CustomerID,LookalikeCustomerID,SimilarityScore
C0001,C0152,0.9899772570665651
C0001,C0180,0.976598877405897
C0001,C0106,0.9606582361540573
C0002,C0010,0.991217079054842
C0002,C0029,0.9888580608204647
C0002,C0083,0.9587674549352633
C0003,C0052,0.9582675963475001
C0003,C0035,0.937418416491602
C0003,C0117,0.8856504872045413
C0004,C0122,0.9850036641406476
C0004,C0113,0.9812836705476876
C0004,C0162,0.9790268891996623
C0005,C0159,0.9650260374550573
C0005,C0198,0.9573252840589935
C0005,C0131,0.9564643710156097
C0006,C0026,0.9604533629210554
C0006,C0066,0.8869908127857503
C0006,C0187,0.8587123341664494
C0007,C0074,0.9768844376195303
C0007,C0176,0.9635602781934903
C0007,C0112,0.9617300779503352
C0008,C0084,0.9806859386877081
C0008,C0098,0.9550354772239303
C0008,C0017,0.920919629341844
C0009,C0077,0.9871260498634801
C0009,C0043,0.9844789680101999
C0009,C0186,0.9744926880545037
C0010,C0002,0.991217079054842
C0010,C0199,0.9828619276749316
C0010,C0029,0.9621487370927923
C0011,C0174,0.9523781862917523
C0011,C0086,0.9484380184223362
C0011,C0106,0.9328845365521818
C0012,C0143,0.9825449946249647
C0012,C0057,0.9676647247892576
C0012,C0126,0.9638984721568215
C0013,C0059,0.9863870670315651
C0013,C0054,0.9678674853213537
C0013,C0046,0.9650071028181634
C0014,C0058,0.9996617078164158
C0014,C0020,0.9982857933666889
C0014,C0110,0.996957484052275
C0015,C0095,0.9983001645185968
C0015,C0043,0.9784214698561507
C0015,C0140,0.9761880283646746
C0016,C0183,0.9993520165578048
C0016,C0048,0.9701819879784449
C0016,C0072,0.9119044828088515
C0017,C0075,0.9926469655076572
C0017,C0068,0.9673835581405889
C0017,C0156,0.967214572071445
C0018,C0182,0.9352409113233447
C0018,C0117,0.8888864733937105
C0018,C0105,0.882779360328251
C0019,C0034,0.8781902607179239
C0019,C0147,0.7602031133397519
C0019,C0119,0.7410863727509628
C0020,C0110,0.9987817227330814
C0020,C0014,0.9982857933666889
C0020,C0058,0.9982821873254827
